Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
5487765,97 Things Every Software Architect Should Know,Richard Monson-Haefel,"Monson-Haefel, Richard",,"=""059652269X""","=""9780596522698""",4,3.62,O'Reilly Media,Paperback,220,2009,2009,,2023/10/14,,,read,,,,0,0
974898,Rules of Management: The Definitive Guide to Managerial Success,Richard Templar,"Templar, Richard",,"=""0273695169""","=""9780273695165""",4,3.88,Pearson Prentice Hall,Paperback,208,2004,2005,,2023/10/08,,,read,,,,0,0
45735766,"JFK and de Gaulle: How America and France Failed in Vietnam, 1961-1963 (Studies In Conflict Diplomacy Peace)",Sean J. McLaughlin,"McLaughlin, Sean J.",,"=""081317774X""","=""9780813177748""",4,4.00,University Press of Kentucky,Hardcover,296,2019,2019,,2023/09/30,,,read,"Upshot: Apparently, Kennedy was a Francophobe, and probably influenced by France's foreign policy failures and WWII record. De Gaulle was arrogant, proud, and apparently bent on France being a super power player. Not a situation where de Gaulle's lessons late learned would make much impression on a youthful administration riding a wave of successes.<br/><br/>",,,1,0
12675109,"Great by Choice: Uncertainty, Chaos, and Luck—Why Some Thrive Despite Them All",James C. Collins,"Collins, James C.","Jim Collins, Morten T. Hansen","=""""","=""""",4,4.09,HarperBusiness,Kindle Edition,183,2011,2011,,2023/09/23,,,read,,,,0,0
36959766,Hyperfocus: How to Be More Productive in a World of Distraction,Chris   Bailey,"Bailey, Chris",,"=""0735273685""","=""9780735273689""",4,3.90,Random House Canada,Hardcover,256,2018,2018,,2023/09/19,,,read,"Very, very tactical. A bit of a counterpoint to, say, Deep Work. Good reinforcement for many tactics I've used or currently using, and good validation on how I use caffeine.",,,1,0
29386,Nathaniel's Nutmeg: How One Man's Courage Changed the Course of History,Giles Milton,"Milton, Giles",,"=""0340696761""","=""9780340696767""",4,3.82,Sceptre,Paperback,388,2005,1999,,2023/09/15,,,read,,,,1,0
56481725,Staff Engineer: Leadership Beyond the Management Track,Will Larson,"Larson, Will",Tanya Reilly,"=""1736417908""","=""""",4,4.07,Will Larson,Kindle Edition,337,2021,,,2023/09/13,,,read,,,,0,0
8310410,Multipliers: How the Best Leaders Make Everyone Smarter,Liz Wiseman,"Wiseman, Liz",Greg McKeown,"=""0061964395""","=""9780061964398""",0,3.99,HarperBusiness,Hardcover,288,2010,2010,,2022/02/26,,,read,"Read maybe 30%, skimmed most of the remaining, was not able to finish it in detail.<br/><br/>I suspect people who like this book will really, really like it, and people who don't, really won't.<br/><br/>I may revisit after reading Essentialism.",,,1,0
1020063,Snowball Earth: The Story of the Great Global Catastrophe That Spawned Life as We Know It,Gabrielle Walker,"Walker, Gabrielle",,"=""0609609734""","=""9780609609736""",4,3.99,Crown,Hardcover,288,2003,2003,,2023/09/06,,,read,,,,1,0
8562119,Power: Why Some People Have it and Others Don't,Jeffrey Pfeffer,"Pfeffer, Jeffrey",,"=""0061789089""","=""9780061789083""",4,3.87,Harper Business,Hardcover,288,2010,2010,,2023/09/05,,,read,,,,1,0
27423648,"The Typhoon Truce, 1970: Three Days in Vietnam when Nature Intervened in the War",Robert Curtis,"Curtis, Robert",,"=""""","=""""",5,4.75,Casemate,Kindle Edition,345,2015,2015,,2023/08/26,,,read,,,,1,0
18770267,Make It Stick: The Science of Successful Learning,Peter C. Brown,"Brown, Peter C.","Henry L. Roediger III, Mark A. McDaniel","=""0674729013""","=""9780674729018""",4,4.16,Belknap Press: An Imprint of Harvard University Press,Hardcover,313,2014,2014,,2023/08/26,,,read,,,,1,0
6899290,"Your Brain at Work: Strategies for Overcoming Distraction, Regaining Focus, and Working Smarter All Day Long",David Rock,"Rock, David",,"=""0061771295""","=""9780061771293""",4,4.08,Harper Business,Hardcover,246,2009,2009,,2023/08/19,,,read,,,,0,0
27213329,Grit: The Power of Passion and Perseverance,Angela Duckworth,"Duckworth, Angela",,"=""1443442313""","=""9781443442312""",4,4.08,Collins,Hardcover,277,2016,2016,,2023/08/06,,,read,,,,1,0
1913430,People's War People's Army: The Viet Cong Insurrection Manual for Underdeveloped Countries,Võ Nguyên Giáp,"Giáp, Võ Nguyên",,"=""0898753716""","=""9780898753714""",3,3.59,University Press of the Pacific,Paperback,232,2001,1961,,2023/07/29,,,read,The staggering volume of Marxist-Leninist claptrap precludes easily extracting strategic lessons. Or perhaps that is one of the lessons.,,,1,0
52831460,Autopsy of an Unwinnable War: Vietnam,William C. Haponski,"Haponski, William C.","Jerry J. Burcham, Dave Richard Palmer","=""""","=""""",4,3.86,Casemate Publishers,Kindle Edition,276,2019,,,2023/06/23,,,read,,,,1,0
57654871,Tango 1-1: 9th Infantry Division LRPs in the Vietnam Delta,Jim Thayer,"Thayer, Jim",,"=""""","=""""",4,4.44,Pen & Sword Military,Kindle Edition,188,2020,,,2023/05/17,,,read,,,,1,0
8386138,The Easter Offensive of 1972 (Carr's Compendium of the Vietnam War: Indochina Monographs Collection),Ngo Quang Truong,"Truong, Ngo Quang",,"=""""","=""""",5,4.50,,Kindle Edition,244,,1979,,2023/05/10,,,read,The best of the series so far.,,,1,0
55723020,Dopamine Nation: Finding Balance in the Age of Indulgence,Anna Lembke,"Lembke, Anna",,"=""1524746738""","=""9781524746735""",4,3.93,Dutton Books,Unknown Binding,305,2021,2021,,2023/02/04,,,read,,,,1,0
54716655,Kill It with Fire: Manage Aging Computer Systems (and Future Proof Modern Ones),Marianne Bellotti,"Bellotti, Marianne",,"=""1718501188""","=""9781718501188""",4,4.17,No Starch Press,Paperback,248,2021,,,2023/01/22,,,read,,,,1,0
59653863,Break in the Chain—Intelligence Ignored: Military Intelligence in Vietnam and Why the Easter Offensive Should Have Turned out Differently,W.R. Baker,"Baker, W.R.",,"=""""","=""""",4,4.25,Casemate,Kindle Edition,264,2021,,,2022/12/25,,,read,Good NVA OOB for Easter Offensive.,,,1,0
3793373,War & Hope: The Case For Cambodia,Norodom Sihanouk,"Sihanouk, Norodom",,"=""0394511158""","=""9780394511153""",4,3.57,"Pantheon Books/Random House, Inc.",Hardcover,166,1980,1980,,2022/11/25,,,read,,,,1,0
25391377,Strategy and Tactics (Indochina Monographs),Col. Hoang Ngoc Lung,"Lung, Col. Hoang Ngoc",,"=""""","=""""",4,4.00,Pickle Partners Publishing,Kindle Edition,141,2015,2015,,2022/11/07,,,read,,,,1,0
37754309,Intelligence (Indochina Monographs Book 2),Col. Hoang Ngoc Lung,"Lung, Col. Hoang Ngoc",,"=""1786254565""","=""9781786254566""",4,4.00,Normanby Press,Kindle Edition,324,2015,2015,,2022/10/21,,,read,"Detailed and intricate analysis of the structure of GVN intelligence services, operations, successes, and failures during the Vietnam war.",,,1,0
28951428,Radical Focus : Achieving Your Most Important Goals with Objectives and Key Results ( OKRs ),Christina Wodtke,"Wodtke, Christina",,"=""""","=""""",4,3.97,,Kindle Edition,147,2016,2016,,2022/10/03,,,read,,,,1,0
156819,Fire From The Sky: Seawolf Gunships in the Mekong Delta,Richard C. Knott,"Knott, Richard C.",,"=""1591144477""","=""9781591144472""",4,4.29,U.S. Naval Institute Press,Hardcover,256,2005,2005,,2022/10/02,,,read,,,,1,0
7332,The Silmarillion,J.R.R. Tolkien,"Tolkien, J.R.R.","Christopher Tolkien, Ted Nasmith","=""0618391118""","=""9780618391110""",5,4.00,Houghton Mifflin Company,Hardcover,386,2004,1977,,2022/09/26,,,read,,,,1,0
15837590,Pacification,Tran Dinh Tho,"Tho, Tran Dinh",,"=""""","=""""",5,5.00,U.S. Government Printing Office/U.S. Army Center for Military History,Paperback,219,1977,1977,,2022/09/25,,,read,"First half outlines the thinking and structure pursued by GVN and FWA for nation building in the hinterland. Second half details successes and failures. Per previous monographs in this series, fingers are occasionally pointed, but the author's restraint is admirable. Stats for VC terror are listed. FWA military involvement put into context of DRV's military escalation resulting from at least partial GVN successes with the various hamlet and village programs instituted by the Diem administration. Reread.",,,1,0
23526564,Holacracy: The New Management System for a Rapidly Changing World,Brian J. Robertson,"Robertson, Brian J.",,"=""162779428X""","=""9781627794282""",0,3.72,Henry Holt and Co.,Hardcover,240,2015,2015,,2022/09/10,,,read,,,,1,0
3201572,North Vietnam And The Pathet Lao: Partners In The Struggle For Laos (A RAND Corporation Study),Paul F. Langer,"Langer, Paul F.",Joseph J. Zasloff,"=""0674626753""","=""9780674626751""",4,4.00,Harvard University Press,Hardcover,276,1970,1970,,2022/08/27,,,read,,,,1,0
4477,Complications: A Surgeon's Notes on an Imperfect Science,Atul Gawande,"Gawande, Atul",,"=""0312421702""","=""9780312421700""",5,4.27,Picador,Paperback,270,2003,,,2022/08/27,,,read,,,,1,0
13525945,So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love,Cal Newport,"Newport, Cal",,"=""1455509108""","=""9781455509102""",4,4.08,Business Plus,ebook,288,2012,2012,,2022/08/23,,,read,"I found the book very helpful. Newport and I are demographically fairly (though separated by age), and what he writes about resonates very strongly with me.<br/><br/>Other readers have had different impression of the book, which is completely understandable.<br/>With respect to some of those readers, and addressing Newport's premise, most of the Follow-Your-Passion purveyors with whom I am familiar (more than I care to admit), are also demographically or culturally fairly close to the both the author and myself.",,,1,0
44770129,"Ultralearning: Master Hard Skills, Outsmart the Competition, and Accelerate Your Career",Scott H. Young,"Young, Scott H.",James Clear,"=""""","=""""",4,3.95,Harper Business,Kindle Edition,305,2019,2019,,2022/08/09,,,read,"Currently implementing Franklin's recall technique. The book has paid for itself already. Ramit is correct, when in doubt just buy it, but make sure to execute.",,,1,0
29939161,Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,"Scott, Kim Malone",,"=""1250103509""","=""9781250103505""",4,4.08,St. Martin's Press,Hardcover,336,2017,2017,,2019/05/17,,,read,Second reading to help prep for 2022 OKRs at work.,,,1,0
6667514,The Checklist Manifesto: How to Get Things Right,Atul Gawande,"Gawande, Atul",,"=""0805091742""","=""9780805091748""",5,4.04,Metropolitan Books,Hardcover,208,2009,2009,,2021/02/21,,,read,"This book, and the philosophy driving, resonate well with me as I have already come to similar conclusions independently. One great benefit of the book is it's not longer necessary to attempt to persuade anyone of the efficacy of checklisting, just point them at the book.",,,1,0
33369254,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Camille Fournier,"Fournier, Camille",,"=""1491973897""","=""9781491973899""",5,4.26,O'Reilly Media,Paperback,226,2017,2017,,2021/09/30,,,read,,,,1,0
677285,Ignition!: An informal history of liquid rocket propellants,John Drury Clark,"Clark, John Drury",,"=""0813507251""","=""9780813507255""",4,4.15,Rutgers University Press,Hardcover,214,1972,1972,2021/11/26,2021/11/06,,,read,"Stories from an era where manners fit between the poles of coarseness and primness found in contemporary discourse. Many of the references and allusions may be lost to current readers. However, I found the book really informative and entertaining, and surprisingly accessible with a year of college chemistry.",,,1,0
24811792,Abandoned in Hell: The Fight For Vietnam's Firebase Kate,William Albracht,"Albracht, William","Marvin Wolf, Joseph L. Galloway","=""0698144260""","=""9780698144262""",4,4.22,Dutton Caliber,Kindle Edition,375,2015,2015,2021/12/25,2021/12/25,,,read,Pretty good account especially as the author was boots on the ground less than 24 hours before it went pear shaped.,,,1,0
1011560,The First Battle: Operation Starlite and the Beginning of the Blood Debt in Vietnam,Otto J. Lehrack,"Lehrack, Otto J.",,"=""1932033270""","=""9781932033274""",4,3.67,Casemate,Hardcover,256,2004,2004,2022/02/08,2022/02/10,,,read,Good chronology and OOB,,,1,0
16144853,Leaders Eat Last: Why Some Teams Pull Together and Others Don't,Simon Sinek,"Sinek, Simon",,"=""1591845327""","=""9781591845324""",0,4.11,Portfolio,Hardcover,350,2014,2014,2022/02/26,2022/02/26,,,read,"I'm probably in the audience for this book, but I'm finding it hard to rate it accurately as I'm already familiar with most of the material the author covers. However, I did find two things notable:<br/><br/>1. The author calls out Friedman on the ""greed is good"" theory of corporate operation, that is, maximizing shareholder value being the sole concern of a corporation. I have never believed this myself, and with ""corporate personhood"" established by the law, it's no surprise a large amount of corporate behavior is sociopathic at best. We imprison people for taking ""me first"" to its logical conclusion, incorporating should come with more social responsibility, not less. Friedman got a Nobel prize for this notion. The author takes Friedman to task, and in my opinion rightly so.<br/><br/>2. I feel the author was unduly harsh on Jack Welch. This may be because I'm currently reading Welch's ""Winning,"" and can see the mismatch between what Welch writes and how it's taken. For example, Welch's description of stack ranking (differentiation) does not square with what I've read about it, nor what I've experienced directly by way of family working for GE during Welch's tenure. Specifically, Welch spends a lot of words advocating for the middle 70%. That part isn't much discussed by the author, or other authors, and certainly not executed on in my experience. The irony is that Welch and the author are much more closely aligned on people development than the author writes.",,,1,0
15837603,Territorial Forces,Ngo Quang Truong,"Truong, Ngo Quang",,"=""""","=""""",4,4.00,U.S. Government Printing Office/U.S. Army Center for Military History,Paperback,154,1978,1978,,2022/07/28,,,read,"Worth rereading in some detail, specifically to better understand the sequence of reorganizations, scope changes, and mission changes for RF/PF and related units.",,,1,0
26312997,Peak: Secrets from the New Science of Expertise,K. Anders Ericsson,"Ericsson, K. Anders",Robert Pool,"=""0544456254""","=""9780544456259""",4,4.21,HarperOne,ebook,336,2016,2016,,2022/07/21,,,read,"This is a top tier book for me, along with Deep Work, Indistractable, and Tiny Habits. Worth rereading.<br/><br/>The main point for me was the author's findings that world class experts do not, in fact, like to practice. They find practicing as boring as I find it. This is a relief to me, and profoundly validating. It is also in line with a small but growing sentiment among the reading I do. That sentiment can be most succinctly expressed as ""jfdi."" The time for productivity porn is over. jfdi.",,,1,0
44595007,Indistractable: How to Control Your Attention and Choose Your Life,Nir   Eyal,"Eyal, Nir",Julie Li,"=""194883653X""","=""9781948836531""",4,3.75,BenBella Books,Hardcover,290,2019,2019,,2022/07/17,,,read,"Good mix of science and practice. A good third ""leg"" of a productivity trifecta including Deep Work and Tiny Habits.",,,1,0
15837503,RLG Military Operations and Activities in the Laotian Panhandle,Soutchay Vongsavanh,"Vongsavanh, Soutchay",,"=""""","=""""",4,4.00,U.S. Government Printing Office/U.S. Army Center for Military History,Paperback,120,1978,1978,,2022/07/14,,,read,"Gen. Vongsavanh provides names, dates, and locations for actions glossed over in other accounts. Very helpful for understanding the situation on the ground, especially during period 1970-1973.",,,1,0
34948075,War For The Ho Chi Minh Trail,Major Gregory T. Banner,"Banner, Major Gregory T.",,"=""1782896929""","=""9781782896920""",5,5.00,Normanby Press,Kindle Edition,127,2014,,,2022/07/09,,,read,"Excellent overview and very quick read given familiarity with issue at hand. The author makes one logical error, ironically, the same error he rightly points out in other analyses. He correctly states that any simplistic assertion of the efficacy of a Laotian interdiction would likely have unforeseen responses by the opposition (as proven by NVN's) ability to adapt. He then states (Chapter 6) that ""The military operation was possible but would have been counter-productive.""<br/><br/>In fact, we don't know that.<br/><br/>It might well have been counter-productive for plausible reasons stated by the author, but I find it a gap in logic to declare that it would have.<br/>",,,1,0
55969292,"Wardley Mapping, The Knowledge: Part One, Topographical intelligence in business",Simon Wardley,"Wardley, Simon",Mark Craddock,"=""""","=""""",4,4.25,,Kindle Edition,559,2020,,,2022/07/09,,,read,"Will need to reread very carefully, probably more than once.",,,1,0
18594363,Predictive Leadership: Avoiding the 12 Critical Mistakes That Derail Growth-Hungry Companies,Kirk Dando,"Dando, Kirk",,"=""113727932X""","=""9781137279323""",5,3.87,St. Martin's Press,Hardcover,240,2014,2014,,2022/07/07,,,read,I've seen much of Dando describes in action at several companies.,,,1,0
379355,Vietnam Order of Battle: A Complete Illustrated Reference to U.S. Army Combat and Support Forces in Vietnam 1961-1973 (Stackpole Military Classics),Shelby L. Stanton,"Stanton, Shelby L.",,"=""0811700712""","=""9780811700719""",5,4.50,Stackpole Books,Hardcover,416,2003,1981,,2022/06/30,,,read,"This is a reference book, and I've referenced it several times, hence counting it ""read.""<br/><br/>I found it instructive to examine the proportion of casualties with respect to branch of service. The USMC served well. Semper Fi.",,,1,0
53343,On Writing Well: The Classic Guide to Writing Nonfiction,William Zinsser,"Zinsser, William",,"=""0060891548""","=""9780060891541""",4,4.24,Harper Perennial,Paperback,321,2006,1976,,2022/06/30,,,read,,,,1,0
1104712,The Ravens: The Men Who Flew In America's Secret War In Laos,Christopher Robbins,"Robbins, Christopher",,"=""0517566125""","=""9780517566121""",4,4.25,"Crown Publishers, Inc.",Hardcover,420,1987,1987,,2022/06/29,,,read,,,,1,0
36458712,Making Work Visible: Exposing Time Theft to Optimize Work & Flow,Dominica Degrandis,"Degrandis, Dominica",Tonianne DeMaria,"=""""","=""""",4,4.12,IT Revolution Press,Kindle Edition,264,2017,2017,,2022/06/19,,,read,"First half covers territory well-known to me, the second half bears rereading in detail.",,,1,0
643279,A Better War: The Unexamined Victories and Final Tragedy of America's Last Years in Vietnam,Lewis Sorley,"Sorley, Lewis",,"=""0156013096""","=""9780156013093""",5,4.03,Harvest,Paperback,507,2007,1999,,2022/06/10,,,read,Wikipedia reports an unnamed military analyst repudiates Abrams' claim of Clear and Hold strategy.,,,1,0
48549702,Upstream: The Quest to Solve Problems Before They Happen,Dan Heath,"Heath, Dan",,"=""""","=""""",4,4.16,Avid Reader Press / Simon & Schuster,Kindle Edition,315,2020,2020,,2022/06/02,,,read,"Not a lot of tactical advice, but I'm putting the strategy to work.",,,1,0
55405393,Courage Under Fire: The 101st Airborne's Hidden Battle at Tam KY,Ed Sherwood,"Sherwood, Ed",,"=""1612009646""","=""9781612009643""",4,4.32,Casemate Publishers,Hardcover,360,2021,,,2022/05/28,,,read,"Lamar Plain was conducted during Abram's tenure, which I'm reading about in ""A Better War."" I'm curious whether that book will mention this operation, and how Abram's envisioned this operation in his One War program.",,,1,0
62499,Thud Ridge: F-105 Thunderchief Missions Over Vietnam,Jack Broughton,"Broughton, Jack",Hanson W. Baldwin,"=""0859791165""","=""9780859791168""",4,4.19,Crecy Publishing Ltd.,Paperback,280,2009,1969,,2022/05/22,,,read,,,,1,0
33959455,"The Talent Delusion: Why Data, Not Intuition, Is the Key to Unlocking Human Potential",Tomas Chamorro-Premuzic,"Chamorro-Premuzic, Tomas",,"=""""","=""""",3,3.91,Piatkus,Kindle Edition,267,2017,,,2022/05/15,,,read,"It took me two tries to get through this one.<br/><br/>The best I can some up with is ""thought provoking,"" as it's making me think about a number of assumptions currently held as gospel in both corporate HR and the talent industry.<br/><br/>While the book seemed to start from a science-based point of view, by the end I'm having to classify it as a polemic (because the author has a PhD, otherwise I'd call it a bit of rant). I did not find much immediately actionable material which will help me tune my current hiring pipeline.<br/><br/>However, the author exposes so many absurdities in current thinking that I'm inclined to a future reread.",,,1,0
35755822,Building Evolutionary Architectures: Support Constant Change,Neal Ford,"Ford, Neal","Rebecca Parsons, Patrick Kua","=""1491986360""","=""9781491986363""",4,3.76,O'Reilly Media,Paperback,190,2017,,,2022/05/09,,,read,"Good material, a little light for me on immediate demonstration, will be rereading to extract actionables.",,,1,0
38840,Boyd: The Fighter Pilot Who Changed the Art of War,Robert Coram,"Coram, Robert",,"=""0316796883""","=""9780316796880""",4,4.15,Back Bay Books,Paperback,504,2004,,,2022/05/08,,,read,"Fast read, but very little exploration useful for applying Boyd's concepts. The big take home for me: ""Do your homework.""",,,1,0
13221308,Positive Intelligence: Why Only 20% of Teams and Individuals Achieve Their True Potential and How You Can Achieve Yours,Shirzad Chamine,"Chamine, Shirzad",,"=""1608322785""","=""9781608322787""",0,4.06,Greenleaf Book Group Press,Hardcover,224,2012,2012,,2022/05/07,,,read,"Not currently in the audience for this at the moment; style did not resonate with me. Material seems good, will consider rereading in the future.<br/>",,,1,0
53532362,"The Blackhorse in Vietnam: The 11th Armored Cavalry Regiment in Vietnam and Cambodia, 1966–1972",Donald Snedeker,"Snedeker, Donald",,"=""""","=""""",5,4.35,Casemate Publishers,Kindle Edition,313,2020,,,2022/05/04,,,read,Pile on.,,,1,0
34507927,"How to Take Smart Notes: One Simple Technique to Boost Writing, Learning and Thinking – for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,"Ahrens, Sönke",,"=""""","=""""",4,4.14,,Kindle Edition,178,2017,2017,2022/04/20,2022/04/20,,,read,Key point: information storage is not the same skill as information retrieval.,,,1,0
1107115,Vietnam's Forgotten Army: Heroism and Betrayal in the ARVN,Andrew Wiest,"Wiest, Andrew",James Webb,"=""0814794106""","=""9780814794104""",5,4.33,NYU Press,Hardcover,,2007,2007,2022/04/09,2022/04/09,,,read,Outstanding account of ARVN.,,,1,0
1317946,Managing Humans: Biting and Humorous Tales of a Software Engineering Manager,Michael Lopp,"Lopp, Michael",,"=""159059844X""","=""9781590598443""",4,3.94,Apress,Paperback,209,2007,2007,2022/04/08,2022/04/08,,,read,,,,1,0
11073031,The Atomic Times: My H-Bomb Year at the Pacific Proving Ground,Michael        Harris,"Harris, Michael",,"=""""","=""""",3,3.78,Presidio Press/Ballantine Books,Kindle Edition,295,2010,2005,,2022/04/03,,,read,,,,1,0
50083106,"The Art of Leadership: Small Things, Done Well",Michael Lopp,"Lopp, Michael",,"=""1492045691""","=""9781492045694""",4,4.18,O'Reilly Media,Paperback,198,2020,,2022/04/01,2022/04/01,,,read,,,,1,0
22529127,Team of Teams: New Rules of Engagement for a Complex World,Stanley McChrystal,"McChrystal, Stanley","Chris Fussell, Tantum Collins, David        Silverman","=""1591847486""","=""9781591847489""",4,4.16,Portfolio,Hardcover,304,2015,2015,2022/03/30,2022/03/30,,,read,"Second read.<br/><br/>The essential conundrum is that the only person who can implement the team of teams notion effectively has to be 1. unequivocally in charge of the entire enterprise, and 2. secure enough to voluntarily cede power down the chain.",,,1,0
59207618,A Radical Enterprise: Pioneering the Future of High-Performing Organizations,Matt K Parker,"Parker, Matt K",,"=""1950508021""","=""9781950508020""",4,3.90,It Revolution Press,ebook,192,2022,,2022/03/25,2022/03/25,,,read,"Long on theory, light on practice.",,,1,0
20256914,"Mourning Headband for Hue: An Account of the Battle for Hue, Vietnam 1968",Nhã Ca,"Ca, Nhã",Olga Dror,"=""0253014174""","=""9780253014177""",5,4.10,Indiana University Press,Hardcover,378,2014,1969,2022/03/19,2022/03/19,,,read,I happened to be reading this during the Russian invasion of Ukraine.,,,1,0
49814228,"The Biggest Bluff: How I Learned to Pay Attention, Master Myself, and Win",Maria Konnikova,"Konnikova, Maria",,"=""052552262X""","=""9780525522621""",4,4.08,Penguin Press,Hardcover,368,2020,2020,,2022/03/12,,,read,,,,1,0
35187192,The Road Not Taken: Edward Lansdale and the American Tragedy in Vietnam,Max Boot,"Boot, Max",,"=""0871409410""","=""9780871409416""",5,4.22,"Liveright Publishing Corporation/W.W. Norton & Company, Inc.",Hardcover,768,2018,2018,2022/03/11,2022/03/11,,,read,,,,1,0
866222,Winning,Jack Welch,"Welch, Jack",Suzy Welch,"=""0060753943""","=""9780060753948""",4,3.85,Harper Business,Hardcover,384,2005,2005,2022/03/03,2019/05/17,,,read,I liked this a lot more than I thought I would. I am curious how his outlook would differ between when the book was published in 2005 and 2022.,,,1,0
60001977,Zero Distance: Management in the Quantum Age,Danah Zohar,"Zohar, Danah",,"=""9811678499""","=""9789811678493""",3,3.55,Palgrave Macmillan,Kindle Edition,368,2021,,2022/02/17,2022/02/17,,,read,Pretty airy for my taste. Team of Teams seems to cover much of the practical application.,,,1,0
22512931,Building Microservices: Designing Fine-Grained Systems,Sam Newman,"Newman, Sam",,"=""1491950358""","=""9781491950357""",4,4.21,O'Reilly Media,Paperback,473,2015,2014,2022/02/23,2019/05/17,,,read,,,,1,0
55148450,"13 Months: In the Bush, in Vietnam, in 1968",Bruce A. Bastien,"Bastien, Bruce A.",,"=""1663204578""","=""9781663204578""",4,4.27,iUniverse,Kindle Edition,166,2020,,2022/02/12,2022/02/13,,,read,First person account covering most of 1968 from USMC grunt's perspective.,,,1,0
248050,When the War Was Over: Cambodia and the Khmer Rouge Revolution,Elizabeth Becker,"Becker, Elizabeth",,"=""1891620002""","=""9781891620003""",5,4.24,PublicAffairs Books/Perseus Books Group,Paperback,635,1998,1986,2022/02/06,2022/02/06,,,read,"I found this a fantastic account of the rise and fall of the Khmer Rouge, and really appreciated the author's work placing the narrative into global context. I learned a lot about the roles of Vietnam, China, and the USSR as well as the USA.",,,1,1
